Sample,Cluster1,Cluster2,Subspecies,Lat_final,Lon_final
AM108,4.56E-13,1,H. a. conferta,-15.77412,128.7383
AM109,1.78E-13,1,H. a. conferta,-15.77412,128.7383
AM110,1.58E-19,1,H. a. conferta,-15.77412,128.7383
AM111,5.16E-17,1,H. a. conferta,-15.77412,128.7383
AM112,1,1.71E-10,H. a. armigera,-15.77412,128.7383
AM113,3.95E-19,1,H. a. conferta,-15.77412,128.7383
AM114,5.53E-12,1,H. a. conferta,-33.81666667,151.0333333
AM115,5.91E-17,1,H. a. conferta,-33.6,150.8
AM116,2.88E-15,1,H. a. conferta,-33.6,150.8
AM117,4.42E-14,1,H. a. conferta,-29.65,150.3166667
AM119,4.62E-20,1,H. a. conferta,-17.26666667,145.4833333
AM120,4.60E-15,1,H. a. conferta,-30.2,149.6
AM121,7.80E-17,1,H. a. conferta,-37.38333333,145.1
AM123,2.05E-18,1,H. a. conferta,-15.77412,128.7383
AM125,3.33E-12,1,H. a. conferta,-15.77412,128.7383
AM126,1.79E-15,1,H. a. conferta,-15.77412,128.7383
AM127,1,1.27E-13,H. a. armigera,-15.77412,128.7383
AM128,5.40E-16,1,H. a. conferta,-15.77412,128.7383
AM130,1.19E-15,1,H. a. conferta,-15.77412,128.7383
AM131,1.52E-14,1,H. a. conferta,-15.77412,128.7383
AM132,1.08E-16,1,H. a. conferta,-15.77412,128.7383
AM133,2.86E-09,0.999999997,H. a. conferta,-30.2,149.6
AM135,2.33E-13,1,H. a. conferta,-33.6,150.8
AM136,6.58E-11,1,H. a. conferta,-27.56666667,152.2833333
AM137,2.40E-11,1,H. a. conferta,-27.56666667,152.2833333
AM138,1.04E-15,1,H. a. conferta,-27.56666667,152.2833333
AM139,7.91E-08,0.999999921,H. a. conferta,-15.77412,128.7383
AM141,2.16E-08,0.999999978,H. a. conferta,-17,145.4333333
AM142,8.78E-12,1,H. a. conferta,-17,145.4333333
AM143,3.74E-14,1,H. a. conferta,-17,145.4333333
AM144,7.91E-12,1,H. a. conferta,-17,145.4333333
AM145,1.29E-09,0.999999999,H. a. conferta,-30.2,149.6
AM146,5.70E-14,1,H. a. conferta,-17.26666667,145.4833333
AM147,8.04E-15,1,H. a. conferta,-33.81666667,151.0333333
AM149,1.26E-10,1,H. a. conferta,-33.81666667,151.0333333
AM150,4.58E-13,1,H. a. conferta,-33.81666667,151.0333333
AM151,1.33E-11,1,H. a. conferta,-33.81666667,151.0333333
AM152,2.34E-16,1,H. a. conferta,-33.81666667,151.0333333
AM153,6.80E-15,1,H. a. conferta,-33.81666667,151.0333333
AM154,4.59E-09,0.999999995,H. a. conferta,-33.81666667,151.0333333
AM156,7.20E-10,0.999999999,H. a. conferta,-33.81666667,151.0333333
AM157,6.04E-15,1,H. a. conferta,-27.46666667,153.0333333
AM158,4.40E-10,1,H. a. conferta,-27.46666667,153.0333333
AM159,6.81E-14,1,H. a. conferta,-27.46666667,153.0333333
AM161,1.80E-20,1,H. a. conferta,-32.2336,115.8005
AM164,4.80E-08,0.999999952,H. a. conferta,-32.2336,115.8005
AM165,2.22E-10,1,H. a. conferta,-32.2336,115.8005
AM166,3.44E-05,0.9999656,H. a. conferta,-32.2336,115.8005
AM167,1.44E-15,1,H. a. conferta,-32.2336,115.8005
AM169,1,9.31E-14,H. a. armigera,-32.2336,115.8005
AM170,3.02E-10,1,H. a. conferta,-33.81666667,151.0333333
AM171,3.03E-14,1,H. a. conferta,-24.89161,113.6586
