Sample.ID,Country of Origin,State,Locality,Percent.Mitogenome.Coverage
AM145,AUS,NSW,Nars,10.6749579
AM146,AUS,QLD,Ath,8.343049618
AM147,AUS,NSW,Ryd,16.38165565
AM149,AUS,NSW,Ryd,10.01425055
AM150,AUS,NSW,Ryd,7.636999611
AM151,AUS,NSW,Ryd,24.53037958
AM152,AUS,NSW,Ryd,15.02785335
AM153,AUS,NSW,Ryd,14.41248866
AM154,AUS,NSW,Ryd,6.496955564
AM156,AUS,NSW,Ryd,10.5907501
AM157,AUS,QLD,Bri,20.24225936
AM158,AUS,QLD,Bri,8.148723928
AM159,AUS,QLD,Bri,14.96955564
AM161,AUS,WA,Med,18.169452
AM164,AUS,WA,Spe,5.337478948
AM165,AUS,WA,Spe,16.18085244
AM166,AUS,WA,Spe,17.59942998
AM167,AUS,WA,Spe,13.18823682
AM169,AUS,WA,Spe,21.58958414
AM170,AUS,NSW,Ryd,6.943904651
AM171,AUS,WA,Car,13.81007903
AM172,AUS,WA,Car,8.504987693
AM173,AUS,WA,Car,8.297706957
AM174,AUS,WA,Car,34.78429848
AM176,AUS,WA,Car,10.51301982
AM177,AUS,WA,Car,34.15597875
AM178,AUS,WA,Car,23.99274517
AM179,AUS,WA,Car,55.92693354
AM180,AUS,WA,Car,36.61743749
AM182,AUS,WA,Med,17.37271667
AM184,AUS,WA,Med,35.85308978
AM185,AUS,WA,Med,48.34823164
AM186,AUS,WA,Med,39.17605908
AM187,AUS,WA,Med,5.000647752
AM188,AUS,QLD,Bon,57.9997409
AM189,AUS,QLD,Bon,8.725223475
AM190,AUS,QLD,Bon,30.28242
AM191,AUS,QLD,Bri,13.69996113
AM192,AUS,QLD,Nor,16.07073455
AM193,AUS,VIC,,5.764995466
AM196,AUS,QLD,Tec,7.773027594
AM197,AUS,QLD,Tec,6.484000518
AM198,AUS,NSW,Lee,24.78300298
AM199,AUS,NSW,Hay,11.35509781
AM201,AUS,QLD,Lbr,5.207928488
AM202,AUS,QLD,Lbr,16.09664464
AM203,AUS,QLD,Lbr,54.4500583
AM204,AUS,QLD,Lbr,21.11672496
AM205,AUS,QLD,Lbr,8.874206503
AM206,AUS,QLD,Mti,19.27063091
AM207,AUS,QLD,Mti,20.89001166
AM208,AUS,QLD,Mti,33.96813059
AM214,AUS,QLD,Mti,34.44746729
AM215,AUS,QLD,Mti,42.44073066
AM217,AUS,QLD,Mti,6.781966576
AM221,AUS,NSW,Nars,9.211037699
AM222,AUS,NSW,Nars,7.753595025
AM227,AUS,NSW,Nars,16.80917217
AM228,AUS,NSW,Nars,8.822386319
AM229,AUS,NSW,Nars,17.17191346
AM230,AUS,NSW,Nars,8.751133567
AM231,AUS,NSW,Nars,8.083948698
AM233,AUS,NSW,Nars,10.23448633
AM235,AUS,QLD,Ath,31.17631818
AM237,AUS,NSW,Syd,14.28941573
AM244,AUS,NSW,Jeb,54.51483353
AM245,AUS,NSW,Jeb,32.96411452
AM246,AUS,NSW,Jeb,16.78326208
AM249,AUS,NSW,Ros,25.2105195
AM250,AUS,NSW,Ros,27.0436585
AM252,AUS,QLD,Med,8.906594118
AM253,AUS,QLD,Med,8.414302371
AM262,AUS,QLD,Med,19.76292266
AM265,AUS,QLD,Ath,18.19536209
AM271,AUS,QLD,Cai,11.40691799
AM275,AUS,WA,Krs,8.984324394
CA002,AUS,NSW,,97.40251328
CA007,AUS,NSW,,99.37168027
CA011,AUS,NSW,,99.31338256
CA014,AUS,NSW,,99.38463532
CA015,AUS,NSW,,98.27050136
CA001,BRA,MAG,,95.38800363
CA002,BRA,MAG,,99.29394999
CA003,BRA,MAG,,99.29394999
CA004,BRA,MAG,,98.78222568
CA005,BRA,MAG,,98.96359632
CA006,BRA,GOI,Pdg,98.15390595
CA001,CHN,SHA,,51.26311698
CA002,CHN,SHA,,99.28747247
CA003,CHN,SHA,,74.09638554
CA004,CHN,SHA,,99.3522477
CA001,FRA,COR,,93.95647105
CA002,FRA,COR,,92.49255085
CA003,FRA,COR,,94.62365591
CA001,IND,PUN,Abo,99.38463532
CA003,IND,MAH,Yav,99.39759036
CA001,MAD,VAK,Ant,96.57986786
CA001,NZL,AUK,Auk,99.35872522
CA002,NZL,AUK,Auk,97.95310273
CA003,NZL,AUK,Auk,99.28099495
CA001,SEN,THI,Not,93.94999352
CA002,SEN,THI,Not,99.27451742
CA003,SEN,THI,Not,98.7887032
CA001,UGA,WAK,Kam,99.30042752
CA002,UGA,WAK,Kam,98.08913072
CA003,UGA,WAK,Kam,97.55797383
CA004,UGA,WAK,Kam,95.80904262
