Sample.ID,Percent.Mitogenome.Coverage,Year.of.collection,Australian.State.Territory.of.Collection,Latitude,Longitude
AM156,10.7317,1975,NSW,-33.81666667,151.0333333
AM157,20.5773,1976,QLD,-27.46666667,153.0333333
AM158,8.2883,1977,QLD,-27.46666667,153.0333333
AM159,15.1365,1977,QLD,-27.46666667,153.0333333
AM160,0,1977,QLD,-27.46666667,153.0333333
AM170,6.9981,1978,NSW,-33.81666667,151.0333333
AM188,58.4218,1979,QLD,-27.56666667,151.45
AM189,8.8552,1979,QLD,-27.56666667,151.45
AM190,30.5532,1979,QLD,-27.56666667,151.45
AM191,13.8333,1979,QLD,-27.46666667,153.0333333
AM192,16.2768,1979,QLD,-27.55,151.3833333
AM194,0,1979,QLD,-27.55,151.3833333
AM195,0,1979,QLD,-27.66666667,152.2333333
AM196,7.8582,1979,QLD,-27.66666667,152.2333333
AM197,6.5615,1979,QLD,-27.66666667,152.2333333
AM198,25.0147,1981,NSW,-34.6,146.35
AM199,11.4811,1982,NSW,-34.5,144.85
AM200,0,1985,QLD,-27.35,151.1
AM201,5.2518,1985,QLD,-27.35,151.1
AM202,16.2833,1985,QLD,-27.35,151.1
AM203,54.8446,1985,QLD,-27.35,151.1
AM204,21.3332,1985,QLD,-27.35,151.1
AM205,8.979,1985,QLD,-27.35,151.1
AM206,19.4826,1987,QLD,-20.73333333,139.4833333
AM207,21.1181,1987,QLD,-20.73333333,139.4833333
AM208,34.2803,1987,QLD,-20.73333333,139.4833333
AM209,0,1989,QLD,-19.56666667,147.4
AM210,0,1989,QLD,-19.56666667,147.4
AM211,0,1989,QLD,-19.56666667,147.4
AM213,0,1990,QLD,-27.88333333,151.2666667
AM214,34.7625,1990,QLD,-27.88333333,151.2666667
AM215,42.8357,1990,QLD,-27.88333333,151.2666667
AM216,0,1990,QLD,-27.88333333,151.2666667
AM217,6.9199,1990,QLD,-27.88333333,151.2666667
AM218,0,1990,QLD,-27.88333333,151.2666667
AM219,0,1993,NSW,-30.83333333,152.9333333
AM220,0,2015,NSW,-30.2,149.6
AM221,9.4481,2015,NSW,-30.2,149.6
AM222,7.8387,2015,NSW,-30.2,149.6
AM223,0,2015,NSW,-30.2,149.6
AM224,0,2015,NSW,-30.2,149.6
AM225,0,2015,NSW,-30.2,149.6
AM226,0,2015,NSW,-30.2,149.6
AM227,17.1564,2015,NSW,-30.2,149.6
AM228,8.9399,2015,NSW,-30.2,149.6
AM229,17.3063,2015,NSW,-30.2,149.6
AM230,8.8486,2015,NSW,-30.2,149.6
AM231,8.2101,2015,NSW,-30.2,149.6
AM232,0,2015,NSW,-30.2,149.6
AM233,10.3864,2015,NSW,-30.2,149.6
AM234,0,2015,NSW,-30.2,149.6
AM235,31.4459,1903,QLD,-17.26666667,145.4833333
AM236,0,1907,QLD,-27.46666667,153.0333333
AM237,14.4849,1910,NSW,-33.88333333,151.2166667
AM239,0,1914,NSW,-33.88333333,151.2166667
AM240,0,1914,NSW,-33.88333333,151.2166667
AM241,0,1914,NSW,-33.88333333,151.2166667
AM242,0,1914,NSW,-33.88333333,151.2166667
AM243,0,1914,NSW,-33.88333333,151.2166667
AM244,55.0531,1917,NSW,-35,150.75
AM245,33.3094,1918,NSW,-35,150.75
AM246,16.9935,1918,NSW,-35,150.75
AM247,0,1920,NSW,-35,150.75
AM248,0,1922,NSW,-33.88333333,151.2166667
AM249,25.5164,1923,NSW,-33.88333333,151.2166667
AM250,27.3799,1923,NSW,-33.88333333,151.2166667
AM251,0,1923,QLD,-17.08333333,145.7666667
AM252,9.0115,1923,QLD,-17.08333333,145.7666667
AM253,8.6792,1925,QLD,-17.08333333,145.7666667
AM254,0,1928,NSW,-28.75,153.4
