Sample ID,Lat_final,Lon_final
AM250,-33.88333333,151.2166667
AM251,-17.08333333,145.7666667
AM252,-17.08333333,145.7666667
AM253,-17.08333333,145.7666667
AM254,-28.75,153.4
AM255,-27.56666667,152.2833333
AM256,-27.88333333,151.2666667
AM257,-28.75,153.4
AM258,-33.4,151.35
AM259,-33.4,151.35
AM260,-33.88333333,151.2166667
AM261,-17.08333333,145.7666667
AM262,-17.08333333,145.7666667
AM263,-17.08333333,145.7666667
AM264,-17.08333333,145.7666667
AM265,-17.26666667,145.4833333
AM266,-24.4,150.5166667
AM267,-24.4,150.5166667
AM268,-24.4,150.5166667
AM269,-27.48333333,152.9833333
AM270,-19.66666667,147.4166667
AM271,-16.91666667,145.7666667
AM272,-16.91666667,145.7666667
AM276,-30.2,149.6
AM277,-19.56666667,147.4
AM278,-19.56666667,147.4
AM279,-19.56666667,147.4
